country,region,stop_permanently_pct,pause_until_safe_pct,continue_oversight_pct,continue_rapidly_pct,not_sure_pct,n,moe_pp
Greece,Europe,19,23,26,8,24,1743,2.9
Ukraine,Europe,12,25,30,12,21,2109,2.6
Serbia,Europe,23,21,25,14,17,2238,2.3
Hungary,Europe,16,18,33,14,19,1671,2.9
Sweden,Europe,17,18,30,13,22,1874,2.6
United Kingdom,Europe,23,20,20,11,26,5656,2.0
Germany,Europe,18,17,31,14,20,4818,1.6
Finland,Europe,17,19,28,13,23,1879,2.5
Belarus,Europe,21,23,23,15,18,2696,2.0
Lithuania,Europe,18,24,22,12,24,624,4.8
Austria,Europe,23,17,26,15,19,1071,3.4
Norway,Europe,19,17,26,12,26,1180,3.2
Romania,Europe,17,15,28,13,27,2840,2.3
France,Europe,21,14,19,8,38,4536,1.7
Netherlands,Europe,20,19,24,17,20,4615,2.1
Denmark,Europe,20,17,25,17,21,1575,3.5
Italy,Europe,16,17,23,12,32,4957,1.7
Spain,Europe,15,15,24,11,35,2196,2.6
Belgium,Europe,23,18,19,16,24,1971,2.6
Poland,Europe,20,17,23,18,22,2839,2.1
Ireland,Europe,26,18,15,19,22,1385,3.1
Portugal,Europe,21,16,19,17,27,3288,1.9
Switzerland,Europe,23,14,22,20,21,728,4.2
Russia,Europe,20,18,22,22,18,1520,2.6
Moldova,Europe,23,15,19,20,23,846,3.8
Puerto Rico,Americas,23,21,22,14,20,664,4.6
Venezuela,Americas,12,20,29,13,26,2703,2.6
Canada,Americas,21,18,20,11,30,4185,2.1
Jamaica,Americas,24,17,17,13,29,1173,3.5
United States,Americas,22,17,19,13,29,5062,1.9
Argentina,Americas,21,16,21,14,28,2859,2.3
Uruguay,Americas,22,17,21,15,25,2748,2.4
Mexico,Americas,19,17,22,14,28,5103,1.6
Panama,Americas,21,18,19,16,26,2516,2.2
Chile,Americas,19,15,24,17,25,2588,2.3
Peru,Americas,21,16,22,18,23,4784,1.5
Costa Rica,Americas,23,16,19,18,24,2500,2.2
El Salvador,Americas,22,16,18,17,27,3556,1.9
Colombia,Americas,21,15,20,17,27,3519,1.9
Brazil,Americas,16,13,23,14,34,2995,2.6
Ecuador,Americas,23,16,18,19,24,5277,1.5
Paraguay,Americas,24,15,18,19,24,3611,1.9
Guatemala,Americas,27,15,15,20,23,5232,1.6
Dominican Republic,Americas,22,15,19,19,25,3886,1.8
Nicaragua,Americas,27,15,15,20,23,5851,1.5
Bolivia,Americas,27,14,16,23,20,6071,1.4
Honduras,Americas,26,14,15,20,25,4535,1.7
South Africa,Sub-Saharan Africa,25,19,18,15,23,5017,1.6
Cameroon,Sub-Saharan Africa,28,11,20,15,26,2249,2.4
Tanzania,Sub-Saharan Africa,19,18,19,13,31,1262,3.1
